Nomor Perkara,Tanggal Penetapan,Nama Panitera Pengganti,Aktif
6/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 04 Jan. 2019",Belum Dapat Ditampilkan,Ya
5/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 04 Jan. 2019",Belum Dapat Ditampilkan,Ya
4/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 03 Jan. 2019",AGUS WAWAN,Ya
3/Pid.Sus-TPK/2019/PN Jkt.Pst,"Kamis, 03 Jan. 2019",PUDJI SUMARTONO,Ya
8/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 08 Jan. 2019",Belum Dapat Ditampilkan,Ya
7/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 08 Jan. 2019","AGUSTIATI JAMILAH, SH.",Ya
9/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 09 Jan. 2019","ROMA SIALLAGAN, SH.",Ya
12/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 11 Jan. 2019",Belum Dapat Ditampilkan,Tidak
12/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Mar. 2019",Belum Dapat Ditampilkan,Ya
11/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 14 Jan. 2019",Belum Dapat Ditampilkan,Ya
10/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 11 Jan. 2019",Belum Dapat Ditampilkan,Ya
14/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 16 Jan. 2019",Belum Dapat Ditampilkan,Ya
13/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 16 Jan. 2019",Belum Dapat Ditampilkan,Ya
15/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 18 Jan. 2019",Belum Dapat Ditampilkan,Ya
19/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Feb. 2019",Belum Dapat Ditampilkan,Ya
18/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 04 Feb. 2019",Belum Dapat Ditampilkan,Ya
85/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018","AGUSTIATI JAMILAH, SH.",Ya
84/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",SUNDARNI,Ya
83/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018","ENDANG_PURWANINGSIH, SH.",Ya
82/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",DHENY INDARTO,Ya
87/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",ALDINO HERYANTO,Ya
89/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 24 Okt. 2018",ACHMAD DINDIN JUNAEDI,Ya
88/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 24 Okt. 2018",EDWARD WILLY,Ya
90/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 29 Okt. 2018",PUDJI SUMARTONO,Ya
92/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Nov. 2018","AGUSTIATI JAMILAH, SH.",Ya
91/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 09 Nov. 2018",SUNDARNI,Ya
94/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 12 Nov. 2018","TATI DORESLY SIMAMORA, SH",Ya
93/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 12 Nov. 2018","FATONI, SH",Ya
96/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 13 Nov. 2018",SUNDARNI,Ya
95/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 13 Nov. 2018",EKO BUDIARNO,Ya
99/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018",WIDIA FITRIANTI,Ya
98/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018","TATI DORESLY SIMAMORA, SH",Ya
97/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Nov. 2018",EKO BUDIARNO,Ya
100/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 23 Nov. 2018",WIDIA FITRIANTI,Ya
101/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 28 Nov. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
103/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",EKO BUDIARNO,Ya
63/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
62/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",ALDINO HERYANTO,Ya
65/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",YURIS DHETIAWAN,Ya
66/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 03 Agu. 2018",Belum Dapat Ditampilkan,Ya
67/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 07 Agu. 2018",ACHMAD DINDIN JUNAEDI,Ya
71/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",MIS NANI BM GULTOM,Ya
70/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
69/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",ALDINO HERYANTO,Ya
68/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 09 Agu. 2018",EDWARD WILLY,Ya
72/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 20 Agu. 2018","ROMA SIALLAGAN, SH.",Ya
74/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 30 Agu. 2018",PUDJI SUMARTONO,Ya
73/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 30 Agu. 2018",ACHMAD DINDIN JUNAEDI,Ya
75/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 13 Sep. 2018","ENDANG_PURWANINGSIH, SH.",Ya
76/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 13 Sep. 2018",MARTHIN TURNIP,Ya
78/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 14 Sep. 2018",EKO NURCAHYO PUJIANTO,Ya
77/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 14 Sep. 2018",DHENY INDARTO,Ya
79/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 24 Sep. 2018",KHAIRUDDIN,Ya
80/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 26 Sep. 2018","AGUSTIATI JAMILAH, SH.",Ya
81/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 01 Okt. 2018",KHAIRUDDIN,Ya
86/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 11 Okt. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
42/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 09 Mei 2018",TASTAO SIANIPAR,Ya
44/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 14 Mei 2018",SUNDARNI,Ya
45/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 18 Mei 2018",WIDIA FITRIANTI,Ya
46/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",ALDINO HERYANTO,Ya
50/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",AGUS WAWAN,Ya
49/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018","ZUHERNA, SH.",Ya
48/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",AGUS WAWAN,Ya
47/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018",AGUS WAWAN,Ya
47/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 31 Mei 2018","R.IDA ISKANDIASTUTI, SH.",Ya
52/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 26 Jun. 2018",TASTAO SIANIPAR,Ya
51/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 26 Jun. 2018","SURYONO, SH.",Ya
53/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 03 Jul. 2018","ROMA SIALLAGAN, SH.",Ya
55/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 05 Jul. 2018","FATONI, SH",Ya
54/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 05 Jul. 2018","AGUSTIATI JAMILAH, SH.",Ya
58/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 11 Jul. 2018",SUNDARNI,Ya
57/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 11 Jul. 2018","AGUSTIATI JAMILAH, SH.",Ya
56/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 11 Jul. 2018",DHENY INDARTO,Ya
59/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 19 Jul. 2018",MIS NANI BM GULTOM,Ya
61/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 20 Jul. 2018",PUDJI SUMARTONO,Ya
60/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 20 Jul. 2018",EDWARD WILLY,Ya
64/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 23 Jul. 2018",MIS NANI BM GULTOM,Ya
21/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
20/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018",MIS NANI BM GULTOM,Ya
25/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018",MARTHIN TURNIP,Ya
26/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Mar. 2018","FATONI, SH",Ya
28/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Mar. 2018","FATONI, SH",Ya
29/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Mar. 2018",SUNDARNI,Ya
27/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Mar. 2018",SUNDARNI,Ya
30/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Mar. 2018","FATONI, SH",Ya
31/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 16 Mar. 2018",DHENY INDARTO,Ya
32/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 21 Mar. 2018",PUDJI SUMARTONO,Ya
33/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 27 Mar. 2018",MARTHIN TURNIP,Ya
34/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 18 Apr. 2018",AGUS WAWAN,Ya
34/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 18 Apr. 2018","R.IDA ISKANDIASTUTI, SH.",Ya
35/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 18 Apr. 2018",DHENY INDARTO,Ya
36/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 18 Apr. 2018","ENDANG_PURWANINGSIH, SH.",Ya
37/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 27 Apr. 2018",MARTHIN TURNIP,Ya
38/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 03 Mei 2018","SURYONO, SH.",Ya
39/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 03 Mei 2018","ZUHERNA, SH.",Ya
40/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 08 Mei 2018","AGUSTIATI JAMILAH, SH.",Ya
41/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 09 Mei 2018",ALDINO HERYANTO,Ya
43/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 09 Mei 2018",EKO NURCAHYO PUJIANTO,Ya
4/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 12 Jan. 2018","AGUSTIATI JAMILAH, SH.",Ya
3/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 12 Jan. 2018","FATONI, SH",Ya
6/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 22 Jan. 2018",ACHMAD DINDIN JUNAEDI,Ya
5/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 22 Jan. 2018",ACHMAD DINDIN JUNAEDI,Ya
7/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 24 Jan. 2018",MIS NANI BM GULTOM,Ya
8/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 30 Jan. 2018","ENDANG_PURWANINGSIH, SH.",Ya
9/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 02 Feb. 2018","TATI DORESLY SIMAMORA, SH",Ya
10/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Feb. 2018","DJOKO SANTOSO, SH",Ya
11/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Feb. 2018",SUNDARNI,Ya
12/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 14 Feb. 2018","AGUSTIATI JAMILAH, SH.",Ya
13/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Feb. 2018",PUDJI SUMARTONO,Ya
14/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 15 Feb. 2018",PUDJI SUMARTONO,Ya
16/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Feb. 2018",MIS NANI BM GULTOM,Ya
15/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 19 Feb. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
18/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 26 Feb. 2018",EKO NURCAHYO PUJIANTO,Ya
17/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 26 Feb. 2018",EKO BUDIARNO,Ya
19/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 28 Feb. 2018","SURYONO, SH.",Ya
19/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 28 Feb. 2018",WIDIA FITRIANTI,Ya
24/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018",AGNASIA MARLIANA TUBALAWONY,Ya
23/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018",MIS NANI BM GULTOM,Ya
22/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 08 Mar. 2018",ALDINO HERYANTO,Ya
115/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 25 Okt. 2017","ZUHERNA, SH.",Ya
116/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 30 Okt. 2017",DHENY INDARTO,Ya
117/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 01 Nov. 2017","AGUSTIATI JAMILAH, SH.",Ya
121/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 03 Nov. 2017","RUSTIANI, SH",Tidak
121/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 31 Jan. 2018",ALDINO HERYANTO,Ya
119/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 03 Nov. 2017",ALDINO HERYANTO,Ya
118/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 03 Nov. 2017","ENDANG_PURWANINGSIH, SH.",Ya
120/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 03 Nov. 2017","FATONI, SH",Ya
122/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 06 Nov. 2017",DHENY INDARTO,Ya
123/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 10 Nov. 2017",YURIS DHETIAWAN,Ya
126/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 14 Nov. 2017","R.IDA ISKANDIASTUTI, SH.",Ya
124/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 14 Nov. 2017",MARTHIN TURNIP,Ya
125/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 14 Nov. 2017","R.IDA ISKANDIASTUTI, SH.",Ya
127/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 24 Nov. 2017",TASTAO SIANIPAR,Ya
