Nomor Perkara,Tanggal Penetapan,Tanggal Sidang Pertama
88/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 15 Jun. 2017","Kamis, 22 Jun. 2017"
89/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 06 Jul. 2017","Kamis, 13 Jul. 2017"
90/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 07 Jul. 2017","Kamis, 13 Jul. 2017"
93/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 07 Jul. 2017","Kamis, 13 Jul. 2017"
92/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 07 Jul. 2017","Kamis, 13 Jul. 2017"
91/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 07 Jul. 2017","Kamis, 13 Jul. 2017"
94/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 18 Jul. 2017","Senin, 31 Jul. 2017"
55/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 05 Apr. 2017","Rabu, 12 Apr. 2017"
56/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 10 Apr. 2017","Senin, 17 Apr. 2017"
57/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 10 Apr. 2017","Senin, 17 Apr. 2017"
58/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Senin, 17 Apr. 2017","Rabu, 26 Apr. 2017"
59/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Kamis, 20 Apr. 2017","Rabu, 03 Mei 2017"
64/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Selasa, 02 Mei 2017","Senin, 08 Mei 2017"
63/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Jumat, 21 Apr. 2017","Rabu, 03 Mei 2017"
62/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 26 Apr. 2017","Rabu, 03 Mei 2017"
61/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 26 Apr. 2017","Rabu, 03 Mei 2017"
60/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Jumat, 21 Apr. 2017","Rabu, 03 Mei 2017"
65/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Selasa, 02 Mei 2017","Senin, 08 Mei 2017"
69/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 03 Mei 2017","Rabu, 10 Mei 2017"
68/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 03 Mei 2017","Rabu, 10 Mei 2017"
67/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 03 Mei 2017","Rabu, 10 Mei 2017"
66/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 03 Mei 2017","Rabu, 10 Mei 2017"
71/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 03 Mei 2017","Rabu, 10 Mei 2017"
70/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 03 Mei 2017","Rabu, 10 Mei 2017"
72/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Senin, 15 Mei 2017","Senin, 22 Mei 2017"
73/Pid.Sus-TPK/2017/PN .Jkt.Pst,"Rabu, 17 Mei 2017","Selasa, 23 Mei 2017"
74/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 26 Mei 2017","Senin, 05 Jun. 2017"
35/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 08 Feb. 2017","Senin, 13 Feb. 2017"
36/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 20 Feb. 2017","Rabu, 01 Mar. 2017"
37/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 24 Feb. 2017","Kamis, 02 Mar. 2017"
38/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 01 Mar. 2017","Kamis, 09 Mar. 2017"
39/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 27 Feb. 2017","Kamis, 09 Mar. 2017"
40/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 03 Mar. 2017","Rabu, 08 Mar. 2017"
41/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 03 Mar. 2017","Kamis, 09 Mar. 2017"
42/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 03 Mar. 2017","Senin, 13 Mar. 2017"
43/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 08 Mar. 2017","Rabu, 15 Mar. 2017"
44/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 08 Mar. 2017","Rabu, 15 Mar. 2017"
45/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 08 Mar. 2017","Rabu, 15 Mar. 2017"
46/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 13 Mar. 2017","Senin, 20 Mar. 2017"
47/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst, - , - 
48/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Selasa, 14 Mar. 2017","Rabu, 22 Mar. 2017"
49/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 27 Mar. 2017","Senin, 03 Apr. 2017"
50/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 17 Mar. 2017","Selasa, 28 Mar. 2017"
51/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 22 Mar. 2017","Rabu, 29 Mar. 2017"
52/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 29 Mar. 2017","Senin, 03 Apr. 2017"
53/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 03 Apr. 2017","Senin, 10 Apr. 2017"
54/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 03 Apr. 2017","Senin, 10 Apr. 2017"
15/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 12 Jan. 2017","Kamis, 19 Jan. 2017"
16/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 12 Jan. 2017","Kamis, 19 Jan. 2017"
17/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 12 Jan. 2017","Kamis, 19 Jan. 2017"
18/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 16 Jan. 2017","Senin, 23 Jan. 2017"
19/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Selasa, 17 Jan. 2017","Rabu, 25 Jan. 2017"
20/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 18 Jan. 2017","Kamis, 26 Jan. 2017"
21/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 19 Jan. 2017","Rabu, 25 Jan. 2017"
22/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 23 Jan. 2017","Selasa, 31 Jan. 2017"
23/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 20 Jan. 2017","Kamis, 26 Jan. 2017"
24/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 20 Jan. 2017","Kamis, 26 Jan. 2017"
25/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 25 Jan. 2017","Rabu, 01 Feb. 2017"
26/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 25 Jan. 2017","Rabu, 01 Feb. 2017"
27/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 25 Jan. 2017","Rabu, 01 Feb. 2017"
28/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 26 Jan. 2017","Senin, 06 Feb. 2017"
29/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 26 Jan. 2017","Senin, 06 Feb. 2017"
30/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 27 Jan. 2017","Senin, 06 Feb. 2017"
31/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 03 Feb. 2017","Senin, 13 Feb. 2017"
32/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Selasa, 07 Feb. 2017","Senin, 20 Feb. 2017"
33/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Selasa, 07 Feb. 2017","Senin, 20 Feb. 2017"
34/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 13 Feb. 2017","Senin, 20 Feb. 2017"
126/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 01 Des. 2016","Rabu, 14 Des. 2016"
127/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 09 Des. 2016","Rabu, 21 Des. 2016"
128/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 14 Des. 2016","Kamis, 22 Des. 2016"
129/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 19 Des. 2016","Rabu, 28 Des. 2016"
130/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 21 Des. 2016","Rabu, 04 Jan. 2017"
131/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 21 Des. 2016","Rabu, 04 Jan. 2017"
1/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 04 Jan. 2017","Senin, 16 Jan. 2017"
2/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 04 Jan. 2017","Senin, 16 Jan. 2017"
3/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Rabu, 04 Jan. 2017","Senin, 16 Jan. 2017"
4/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 06 Jan. 2017","Rabu, 11 Jan. 2017"
5/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 06 Jan. 2017","Rabu, 11 Jan. 2017"
6/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 06 Jan. 2017","Senin, 23 Jan. 2017"
7/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 06 Jan. 2017","Senin, 23 Jan. 2017"
8/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Jumat, 06 Jan. 2017","Senin, 23 Jan. 2017"
9/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Selasa, 10 Jan. 2017","Kamis, 19 Jan. 2017"
10/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Selasa, 10 Jan. 2017","Kamis, 19 Jan. 2017"
11/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Senin, 09 Jan. 2017","Kamis, 19 Jan. 2017"
12/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 12 Jan. 2017","Kamis, 19 Jan. 2017"
13/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 12 Jan. 2017","Kamis, 19 Jan. 2017"
14/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,"Kamis, 12 Jan. 2017","Kamis, 19 Jan. 2017"
106/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 19 Okt. 2016","Rabu, 26 Okt. 2016"
107/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 20 Okt. 2016","Kamis, 27 Okt. 2016"
108/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 20 Okt. 2016","Rabu, 26 Okt. 2016"
109/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 27 Okt. 2016","Kamis, 03 Nov. 2016"
110/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 27 Okt. 2016","Kamis, 03 Nov. 2016"
111/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 01 Nov. 2016","Kamis, 10 Nov. 2016"
112/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 01 Nov. 2016","Selasa, 08 Nov. 2016"
113/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 01 Nov. 2016","Selasa, 08 Nov. 2016"
114/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 03 Nov. 2016","Kamis, 10 Nov. 2016"
115/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 07 Nov. 2016","Senin, 14 Nov. 2016"
116/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 08 Nov. 2016","Senin, 14 Nov. 2016"
117/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 08 Nov. 2016","Rabu, 16 Nov. 2016"
118/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 17 Nov. 2016","Rabu, 23 Nov. 2016"
119/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 17 Nov. 2016","Senin, 28 Nov. 2016"
120/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 21 Nov. 2016","Senin, 28 Nov. 2016"
121/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 21 Nov. 2016","Senin, 28 Nov. 2016"
122/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 28 Nov. 2016","Kamis, 08 Des. 2016"
123/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 28 Nov. 2016","Kamis, 08 Des. 2016"
124/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 28 Nov. 2016","Kamis, 08 Des. 2016"
125/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 01 Des. 2016","Rabu, 14 Des. 2016"
86/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 13 Sep. 2016","Rabu, 21 Sep. 2016"
87/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 21 Sep. 2016","Senin, 03 Okt. 2016"
88/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 21 Sep. 2016","Senin, 03 Okt. 2016"
89/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 30 Sep. 2016","Senin, 03 Okt. 2016"
90/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 29 Sep. 2016","Senin, 03 Okt. 2016"
91/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 04 Okt. 2016","Senin, 10 Okt. 2016"
92/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 05 Okt. 2016","Rabu, 12 Okt. 2016"
93/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 11 Okt. 2016","Senin, 24 Okt. 2016"
94/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 13 Okt. 2016","Rabu, 19 Okt. 2016"
95/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 14 Okt. 2016","Senin, 24 Okt. 2016"
96/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 17 Okt. 2016","Rabu, 26 Okt. 2016"
97/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 17 Okt. 2016","Rabu, 26 Okt. 2016"
98/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 17 Okt. 2016","Rabu, 26 Okt. 2016"
99/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 18 Okt. 2016","Selasa, 25 Okt. 2016"
100/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 17 Okt. 2016","Rabu, 26 Okt. 2016"
101/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 19 Okt. 2016","Rabu, 26 Okt. 2016"
102/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 19 Okt. 2016","Rabu, 26 Okt. 2016"
103/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 19 Okt. 2016","Rabu, 26 Okt. 2016"
104/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 19 Okt. 2016","Rabu, 26 Okt. 2016"
105/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 19 Okt. 2016","Rabu, 26 Okt. 2016"
66/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 17 Agu. 2016","Rabu, 24 Agu. 2016"
67/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 22 Agu. 2016","Senin, 29 Agu. 2016"
68/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 22 Agu. 2016","Rabu, 31 Agu. 2016"
69/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 23 Agu. 2016","Rabu, 31 Agu. 2016"
70/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 25 Agu. 2016","Rabu, 31 Agu. 2016"
71/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 25 Agu. 2016","Rabu, 31 Agu. 2016"
72/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 25 Agu. 2016","Rabu, 31 Agu. 2016"
73/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 25 Agu. 2016","Rabu, 31 Agu. 2016"
74/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 24 Agu. 2016","Rabu, 31 Agu. 2016"
75/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 24 Agu. 2016","Rabu, 31 Agu. 2016"
76/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 26 Agu. 2016","Senin, 05 Sep. 2016"
77/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 31 Agu. 2016","Senin, 05 Sep. 2016"
78/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 29 Agu. 2016","Rabu, 07 Sep. 2016"
79/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 31 Agu. 2016","Senin, 05 Sep. 2016"
80/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 07 Sep. 2016","Rabu, 14 Sep. 2016"
81/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 07 Sep. 2016","Rabu, 14 Sep. 2016"
82/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 14 Sep. 2016","Kamis, 22 Sep. 2016"
83/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 09 Sep. 2016","Kamis, 22 Sep. 2016"
84/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 13 Sep. 2016","Rabu, 21 Sep. 2016"
85/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Selasa, 13 Sep. 2016","Rabu, 21 Sep. 2016"
46/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 31 Mei 2016","Rabu, 08 Jun. 2016"
47/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 07 Jun. 2016","Rabu, 15 Jun. 2016"
48/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 09 Jun. 2016","Rabu, 15 Jun. 2016"
49/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 15 Jun. 2016","Kamis, 23 Jun. 2016"
50/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 15 Jun. 2016","Kamis, 23 Jun. 2016"
51/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 15 Jun. 2016","Rabu, 22 Jun. 2016"
52/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 15 Jun. 2016","Rabu, 22 Jun. 2016"
53/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 20 Jun. 2016","Kamis, 23 Jun. 2016"
54/Pid.Sus-TPK/2016/PN JKT.PST,"Jumat, 17 Jun. 2016","Kamis, 30 Jun. 2016"
55/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 23 Jun. 2016","Kamis, 30 Jun. 2016"
56/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 23 Jun. 2016","Kamis, 30 Jun. 2016"
57/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 22 Jun. 2016","Kamis, 30 Jun. 2016"
58/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 23 Jun. 2016","Rabu, 29 Jun. 2016"
59/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Rabu, 27 Jul. 2016","Rabu, 03 Agu. 2016"
60/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Senin, 25 Jul. 2016","Rabu, 03 Agu. 2016"
61/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 28 Jul. 2016","Rabu, 03 Agu. 2016"
62/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 29 Jul. 2016","Senin, 08 Agu. 2016"
63/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Kamis, 04 Agu. 2016","Rabu, 10 Agu. 2016"
64/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 12 Agu. 2016","Senin, 22 Agu. 2016"
65/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,"Jumat, 12 Agu. 2016","Rabu, 24 Agu. 2016"
26/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 22 Mar. 2016","Rabu, 30 Mar. 2016"
27/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 23 Mar. 2016","Senin, 28 Mar. 2016"
28/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 24 Mar. 2016","Kamis, 31 Mar. 2016"
29/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 24 Mar. 2016","Kamis, 31 Mar. 2016"
30/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 24 Mar. 2016","Kamis, 31 Mar. 2016"
31/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 21 Mar. 2016","Kamis, 31 Mar. 2016"
32/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 29 Mar. 2016","Senin, 04 Apr. 2016"
33/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 05 Apr. 2016","Senin, 11 Apr. 2016"
34/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 12 Apr. 2016","Rabu, 20 Apr. 2016"
35/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 21 Apr. 2016","Kamis, 28 Apr. 2016"
36/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 25 Apr. 2016","Senin, 02 Mei 2016"
37/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 28 Apr. 2016","Senin, 09 Mei 2016"
38/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 02 Mei 2016","Senin, 09 Mei 2016"
39/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 28 Apr. 2016","Rabu, 04 Mei 2016"
40/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 02 Mei 2016","Senin, 09 Mei 2016"
41/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 30 Mei 2016","Rabu, 08 Jun. 2016"
42/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 31 Mei 2016","Kamis, 09 Jun. 2016"
43/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 31 Mei 2016","Kamis, 09 Jun. 2016"
44/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 26 Mei 2016","Senin, 13 Jun. 2016"
45/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 01 Jun. 2016","Senin, 13 Jun. 2016"
6/PID.SUS/TPK/2016/PN JKT.PST,"Kamis, 28 Jan. 2016","Kamis, 04 Feb. 2016"
7/PID.SUS/TPK/2016/PN JKT.PST,"Kamis, 28 Jan. 2016","Kamis, 04 Feb. 2016"
8/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 04 Feb. 2016","Senin, 15 Feb. 2016"
9/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 04 Feb. 2016","Senin, 15 Feb. 2016"
10/Pid.Sus-TPK/2016/PN JKT.PST,"Jumat, 05 Feb. 2016","Senin, 15 Feb. 2016"
11/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 04 Feb. 2016","Kamis, 11 Feb. 2016"
12/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 04 Feb. 2016","Kamis, 11 Feb. 2016"
13/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 15 Feb. 2016","Senin, 22 Feb. 2016"
14/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 15 Feb. 2016","Senin, 22 Feb. 2016"
15/Pid.Sus-TPK/2016/PN JKT.PST,"Jumat, 12 Feb. 2016","Rabu, 17 Feb. 2016"
16/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 07 Mar. 2016","Kamis, 10 Mar. 2016"
17/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 01 Mar. 2016","Kamis, 10 Mar. 2016"
18/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 02 Mar. 2016","Kamis, 10 Mar. 2016"
19/Pid.Sus-TPK/2016/PN JKT.PST,"Rabu, 02 Mar. 2016","Kamis, 10 Mar. 2016"
20/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 01 Mar. 2016","Rabu, 16 Mar. 2016"
21/Pid.Sus-TPK/2016/PN JKT.PST,"Jumat, 04 Mar. 2016","Senin, 14 Mar. 2016"
22/Pid.Sus-TPK/2016/PN JKT.PST,"Jumat, 04 Mar. 2016","Senin, 14 Mar. 2016"
23/Pid.Sus-TPK/2016/PN JKT.PST,"Selasa, 15 Mar. 2016","Rabu, 23 Mar. 2016"
24/Pid.Sus-TPK/2016/PN JKT.PST,"Senin, 28 Mar. 2016","Senin, 04 Apr. 2016"
25/Pid.Sus-TPK/2016/PN JKT.PST,"Kamis, 24 Mar. 2016","Kamis, 31 Mar. 2016"
149/PID.SUS/TPK/2015/PN JKT.PST,"Selasa, 10 Nov. 2015","Senin, 16 Nov. 2015"
150/PID.SUS/TPK/2015/PN JKT.PST,"Rabu, 11 Nov. 2015","Kamis, 19 Nov. 2015"
151/PID.SUS/TPK/2015/PN JKT.PST,"Rabu, 11 Nov. 2015","Rabu, 25 Nov. 2015"
152/PID.SUS/TPK/2015/PN JKT.PST,"Senin, 16 Nov. 2015","Senin, 23 Nov. 2015"
153/PID.SUS/TPK/2015/PN JKT.PST,"Senin, 16 Nov. 2015","Senin, 23 Nov. 2015"
154/PID.SUS/TPK/2015/PN JKT.PST,"Rabu, 18 Nov. 2015","Kamis, 26 Nov. 2015"
155/PID.SUS/TPK/2015/PN JKT.PST,"Rabu, 18 Nov. 2015","Kamis, 26 Nov. 2015"
156/PID.SUS/TPK/2015/PN JKT.PST,"Kamis, 19 Nov. 2015","Senin, 30 Nov. 2015"
157/PID.SUS/TPK/2015/PN JKT.PST,"Jumat, 20 Nov. 2015","Rabu, 02 Des. 2015"
158/PID.SUS/TPK/2015/PN JKT.PST,"Kamis, 26 Nov. 2015","Senin, 30 Nov. 2015"
159/PID.SUS/TPK/2015/PN JKT.PST,"Selasa, 01 Des. 2015","Kamis, 10 Des. 2015"
160/PID.SUS/TPK/2015/PN JKT.PST,"Jumat, 04 Des. 2015","Senin, 04 Jan. 2016"
161/PID.SUS/TPK/2015/PN JKT.PST,"Senin, 14 Des. 2015","Rabu, 23 Des. 2015"
162/PID.SUS/TPK/2015/PN JKT.PST,"Jumat, 18 Des. 2015","Senin, 28 Des. 2015"
163/PID.SUS/TPK/2015/PN JKT.PST,"Senin, 21 Des. 2015","Senin, 28 Des. 2015"
